id,bodybuilding.com id,exrx.net id,equipment,variation,
back extension,back extension,,;plate;band,,
bench press,barbell bench press wide grip;dumbell bench press,,dumbbell;barbell;plate,;incline,
deadlift,barbell deadlift;dumbbell deadlift;romanian deadlift,,barbell;dumbbell,;romanian;sumo,
hip thrust,barbell hip thrust,,;barbell;dumbbell,,
squat,barbell squat,,,front;back,
fly,butterfly;dumbbell flyes;high to low cable chest fly,,machine;cable;dumbbell,,
dip,chest dip,
chin up,chin up,
bicep curl,dumbbell bicep curl;machine bicep curl,,dumbbell;machine
ghd sit up,ghd sit up,
lat pull down,lat pull down,
leg extension,leg extension;leg extensions,
leg press,leg press,
leg curl,lying leg curl,
pull up,pullups,
push up,pushups;decline push up;diamond push up,,,decline;diamond
reverse fly,reverse machine flyes,
row,seated cable rows;barbell deadlift bent row complex;dumbbell bent over row;machine low row,
calf raise,seated calf raise,
shoulder press,seated dumbbell shoulder press,
abductor,thigh abductor,
adductor,thigh adductor;side lateral raise,
tricep push down,triceps pushdown,
front raise,barbell front raise,
bench dip,bench dip,
rear delt fly,rear delt raise,
lunge;split squat,dumbbell lunges,
leg kickback,single leg cable hip extension
triceps extension,standing bent over one arm dumbbell triceps extension
shrug,standing dumbbell shrug,
face pull,standing face pull,
straight arm pull down,straight arm pulldown,
